,movieId_1,movieId_2,movieId_3,movieId_4,movieId_5,movieId_6,movieId_7,movieId_8,movieId_9,movieId_10
movieId_1,1,0.1431,0.07688,0.008127,0.09366,0.01457,0.1098,0.005078,-0.05931,0.02976
movieId_2,0.1431,1,0.02305,0.04271,0.009544,-0.003685,0.1035,0.1233,0.05253,0.193
movieId_3,0.07688,0.02305,1,0.01552,0.2279,-0.0004192,0.02262,0.1398,0.1029,0.02342
movieId_4,0.008127,0.04271,0.01552,1,0.09151,-0.02098,0.1853,0.1497,-0.07277,0.03346
movieId_5,0.09366,0.009544,0.2279,0.09151,1,0.1149,0.005068,0.1279,0.08839,0.01301
movieId_6,0.01457,-0.003685,-0.0004192,-0.02098,0.1149,1,-0.006611,0.005829,0.04757,-0.01539
movieId_7,0.1098,0.1035,0.02262,0.1853,0.005068,-0.006611,1,0.09197,0.04296,0.1564
movieId_8,0.005078,0.1233,0.1398,0.1497,0.1279,0.005829,0.09197,1,0.07215,-0.01944
movieId_9,-0.05931,0.05253,0.1029,-0.07277,0.08839,0.04757,0.04296,0.07215,1,0.02011
movieId_10,0.02976,0.193,0.02342,0.03346,0.01301,-0.01539,0.1564,-0.01944,0.02011,1
